metal_initial_conc,metal_vol,metal_mmol,NaOH_initial_conc,NaOH_vol,NaOH_mmol,K2CO3_initial_conc,K2CO3_vol,K2CO3_mmol,ph,rate,total_vol,metal_total_conc,NaOH_total_conc,K2CO3_total_conc,precipitation_order,XRD,singlephase,destination
1.44,0.69,0.99,1.46,1.37,2,0,0,0,14.16435286,5,2.06,0.48,0.97,0,0,,FALSE,0408-normal-#26
0.224299065,4.46,1.00037383,0,0,0,0.307167235,4.88,1.498976107,11.89420244,2,9.34,0.107106406,0,0.160489947,1,,FALSE,0409-reverse-#1
1.651376147,0.61,1.00733945,0,0,0,0.324909747,4.62,1.501083031,11.90639637,4,5.23,0.192607925,0,0.287013964,1,,FALSE,0409-reverse-#2
1.682242991,0.59,0.992523365,0,0,0,0.326876513,4.59,1.500363195,11.90770686,6,5.18,0.191606827,0,0.289645404,1,,FALSE,0409-reverse-#3
2.142857143,0.47,1.007142857,0,0,0,0.342639594,4.38,1.500761422,11.91793377,1,4.85,0.207658321,0,0.309435345,1,,FALSE,0409-reverse-#4
1.914893617,0.52,0.995744681,0,0,0,0.353866317,4.24,1.500393184,11.92493461,1,4.76,0.209190059,0,0.315208652,1,,FALSE,0409-reverse-#5
1.666666667,0.6,1,0,0,0,0.45,3.33,1.4985,11.97712125,6,3.93,0.254452926,0,0.38129771,1,,FALSE,0409-reverse-#7
2.5,0.4,1,0,0,0,0.279937792,5.36,1.500466565,11.87404576,2,5.76,0.173611111,0,0.260497668,1,,FALSE,0409-reverse-#8
1.956521739,0.51,0.997826087,0.29925187,6.68,1.999002492,0,0,0,13.47603687,4,7.19,0.138779706,0.278025381,0,1,,TRUE,0409-reverse-#12
0.833333333,1.2,1,1,2,2,0,0,0,14,6,3.2,0.3125,0.625,0,1,,TRUE,0409-reverse-#13
1.666666667,0.6,1,2,1,2,0,0,0,14.30103,6,1.6,0.625,1.25,0,1,,FALSE,0409-reverse-#14
0.93,1.08,1.0044,0,0,0,0.33,4.55,1.5015,11.90977197,1,5.63,0.178401421,0,0.26669627,1,,FALSE,0409-reverse-#15
1.39,0.72,1.0008,0,0,0,0.29,5.17,1.4993,11.881714,2,5.89,0.16991511,0,0.254550085,1,,FALSE,0409-reverse-#16
1.45,0.69,1.0005,0.37,5.41,2.0017,0,0,0,13.56820172,4,6.1,0.164016393,0.328147541,0,1,,TRUE,0409-reverse-#17
0.13,7.69,0.9997,1.22,1.64,2.0008,0,0,0,14.08635983,4,9.33,0.107148982,0.214448017,0,1,,FALSE,0409-reverse-#18
1.43,0.7,1.001,0.35,5.71,1.9985,0,0,0,13.54406804,3,6.41,0.156162246,0.311778471,0,1,,FALSE,0409-reverse-#19
1.09,0.92,1.0028,0.42,4.76,1.9992,0,0,0,13.62324929,5,5.68,0.176549296,0.351971831,0,1,,FALSE,0409-reverse-#20
1.48,0.68,1.0064,0.32,6.25,2,0,0,0,13.50514998,4,6.93,0.145223665,0.288600289,0,1,,FALSE,0409-reverse-#21
1.21,0.83,1.0043,0.24,8.33,1.9992,0,0,0,13.38021124,5,9.16,0.109639738,0.218253275,0,1,,FALSE,0409-reverse-#22
0.6,1.67,1.002,0.34,5.88,1.9992,0,0,0,13.53147892,2,7.55,0.132715232,0.264794702,0,1,,FALSE,0409-reverse-#23
1.28,0.78,0.9984,0.31,6.45,1.9995,0,0,0,13.49136169,3,7.23,0.138091286,0.276556017,0,1,,TRUE,0409-reverse-#24
